11	6	0
11	6.37229	0.736586
11	6.92503	1.29867
11	7.46993	1.85617
11	8.00689	2.40974
11	8.53597	2.95982
11	9.06123	3.50843
11	8.8664	3.61469
11	8.87557	3.8434
11	8.76579	4.01074
11	8.6429	4.16846
11	8.5283	4.33504
11	8.4002	4.49484
11	8.30017	4.67315
11	8.17739	4.84053
11	8.05176	5.00349
11	7.94153	5.18389
11	7.82282	5.364
11	7.70146	5.5482
11	7.58187	5.74019
11	7.46618	5.94263
11	7.36679	6.14304
11	7.22584	6.3688
11	7.10264	6.61356
11	6.96811	6.88208
11	6.82597	7.18422
11	6.62011	7.53162
11	6.33524	7.9663
11	6.15934	8.66938
11	6.01775	9.38145

91	6	0
91	6.35706	0.759549
91	6.9299	1.33947
91	7.49393	1.91358
91	8.04665	2.48087
91	8.58445	3.03934
91	8.8395	3.3925
91	8.92625	3.65108
91	9.02173	3.92376
91	8.86468	4.06155
91	8.81498	4.26497
91	8.75071	4.46185
91	8.66807	4.65019
91	8.58273	4.8388
91	8.46918	5.01428
91	8.35295	5.19119
91	8.22205	5.36456
91	8.09597	5.54529
91	7.96058	5.72863
91	7.83029	5.92283
91	7.70156	6.12879
91	7.53281	6.3423
91	7.35271	6.57806
91	7.15341	6.84592
91	6.89416	7.16622
91	6.557	7.80941
91	6.29951	8.50701
91	6.06764	9.21777
91	5.85869	9.93509
91	5.78928	10.6648

44	6	0
44	6.31472	0.748192
44	6.87368	1.29259
44	7.42059	1.82907
44	7.95543	2.35861
44	8.4792	2.88255
44	8.99561	3.40365
44	8.83241	3.55478
44	8.68635	3.70065
44	8.52912	3.83961
44	8.36413	3.97396
44	8.20061	4.11061
44	8.04334	4.25328
44	7.89259	4.40251
44	7.74828	4.55873
44	7.63783	4.73902
44	7.51607	4.91772
44	7.39653	5.10365
44	7.27014	5.29395
44	7.14521	5.49539
44	7.01795	5.71003
44	6.88849	5.9438
44	6.79394	6.21506
44	6.38324	6.66188
44	5.96665	7.20692
44	6.29389	7.95596
44	5.98395	8.64793
44	6.26556	9.39396
44	6.04161	10.1091
44	5.95807	10.8368

12	6	0
12	6.30689	0.763826
12	6.81768	1.32772
12	7.32211	1.88728
12	7.82028	2.44323
12	8.3123	2.99612
12	8.79893	3.54657
12	8.63985	3.67543
12	8.55064	3.85637
12	8.39906	3.97133
12	8.2411	4.0807
12	8.0829	4.19048
12	7.94238	4.31706
12	7.82441	4.46383
12	7.74112	4.63838
12	7.61923	4.78814
12	7.50606	4.94874
12	7.3946	5.11625
12	7.27648	5.28667
12	7.19297	5.48862
12	7.09074	5.69204
12	6.98794	5.91245
12	6.88295	6.15614
12	6.54125	6.52198
12	6.12809	7.05948
12	5.79877	7.7434
12	6.17736	8.50469
12	5.87509	9.22597
12	5.93384	9.9707
12	5.99557	10.7176

93	6	0
93	6.35868	0.752969
93	6.90041	1.26818
93	7.43277	1.77735
93	7.95425	2.27984
93	8.46669	2.77748
93	8.96716	3.2687
93	8.95001	3.43397
93	8.86061	3.5597
93	8.73769	3.65573
93	8.59207	3.73558
93	8.44637	3.81614
93	8.32241	3.92351
93	8.24188	4.0522
93	8.14804	4.1748
93	8.04487	4.2938
93	7.9126	4.39566
93	7.83049	4.53284
93	7.72783	4.66138
93	7.6156	4.78834
93	7.55303	4.94886
93	7.46851	5.10436
93	7.37726	5.26455
93	7.27965	5.43215
93	7.1748	5.61063
93	7.12303	5.80678
93	7.09634	6.0234
93	6.90846	6.21539
93	6.73187	6.45223
93	6.55125	6.73209

50	6	0
50	6.20456	0.757609
50	6.78688	1.30349
50	7.35896	1.8427
50	7.91932	2.37525
50	8.46444	2.89754
50	8.99245	3.40879
50	8.93659	3.53576
50	8.93473	3.69194
50	8.91193	3.83805
50	8.84563	3.96218
50	8.75444	4.07338
50	8.6531	4.17998
50	8.54706	4.28531
50	8.43841	4.39082
50	8.32829	4.49743
50	8.21748	4.60589
50	8.10657	4.71689
50	7.99614	4.83112
50	7.88662	4.94929
50	7.77845	5.07211
50	7.67194	5.20035
50	7.56734	5.33478
50	7.42696	5.46873
50	7.29695	5.61927
50	7.1739	5.78823
50	7.13715	5.98373
50	7.05027	6.1719
50	6.73609	6.53776
50	6.33442	7.05503

47	6	0
47	6.25769	0.762787
47	6.79315	1.31834
47	7.3208	1.86851
47	7.8401	2.41367
47	8.35156	2.95471
47	8.85601	3.49228
47	8.81812	3.71037
47	8.80943	3.94278
47	8.6516	4.08291
47	8.50353	4.23117
47	8.35665	4.38107
47	8.24097	4.55393
47	8.10172	4.71164
47	7.96693	4.87421
47	7.83248	5.03919
47	7.70431	5.21117
47	7.5831	5.39102
47	7.47087	5.58047
47	7.3687	5.78061
47	7.27743	5.99234
47	7.19757	6.21641
47	7.00129	6.37085
47	6.85361	6.58883
47	6.72701	6.8325
47	6.59501	7.10068
47	6.43542	7.40235
47	6.21046	7.73541
47	5.87476	8.38914
47	6.22337	9.15328

94	6	0
94	6.15137	0.756735
94	6.69556	1.31337
94	7.23409	1.86597
94	7.76674	2.41495
94	8.29317	2.96037
94	8.81424	3.50263
94	8.73626	3.65886
94	8.61682	3.77795
94	8.52491	3.91685
94	8.39584	4.03071
94	8.30125	4.16962
94	8.17063	4.28556
94	8.05245	4.41221
94	7.92628	4.53625
94	7.84411	4.69147
94	7.72103	4.82595
94	7.60244	4.96888
94	7.4816	5.11775
94	7.41596	5.30461
94	7.31466	5.48451
94	7.21344	5.6792
94	7.08514	5.88375
94	7.04585	6.14559
94	6.69481	6.48358
94	6.2516	6.95377
94	5.82437	7.52039
94	5.99135	8.27358
94	5.977	9.01947
94	5.89022	9.76255

38	6	0
38	6.24237	0.765939
38	6.75628	1.3296
38	7.26506	1.8898
38	7.76928	2.44758
38	8.27026	3.00431
38	8.6486	3.46559
38	8.70678	3.7407
38	8.69622	3.98311
38	8.66235	4.21282
38	8.53827	4.38463
38	8.41821	4.56037
38	8.26585	4.71547
38	8.12818	4.88343
38	7.98787	5.04831
38	7.86259	5.23177
38	7.73103	5.40896
38	7.61448	5.60939
38	7.46967	5.80311
38	7.32941	6.01223
38	7.1488	6.21354
38	6.9909	6.43856
38	6.83446	6.68842
38	6.66202	6.97019
38	6.42523	7.29466
38	6.06986	7.97296
38	5.79432	8.69469
38	5.95808	9.45276
38	5.95068	10.204
38	5.89889	10.9551

3	6	0
3	6.32269	0.748432
3	6.88788	1.28262
3	7.4328	1.80188
3	7.95061	2.30235
3	8.44743	2.78995
3	8.93041	3.27024
3	8.82148	3.39033
3	8.68615	3.49159
3	8.55145	3.59372
3	8.42406	3.70194
3	8.30089	3.81404
3	8.17082	3.92188
3	8.04923	4.03696
3	7.92153	4.14881
3	7.82947	4.28676
3	7.73108	4.42319
3	7.62455	4.55724
3	7.53232	4.70357
3	7.45157	4.87711
3	7.38671	5.06189
3	7.28446	5.22177
3	7.15487	5.37626
3	7.02571	5.54222
3	6.95303	5.7423
3	6.89631	5.95651
3	6.84854	6.18358
3	6.71752	6.43608
3	6.5861	6.71732
3	6.40568	7.03137

57	6	0
57	6.43236	0.760419
57	6.99394	1.36453
57	7.54765	1.96358
57	8.09118	2.55664
57	8.62113	3.14187
57	8.85449	3.53524
57	8.89107	3.84127
57	8.80499	4.09118
57	8.68438	4.32213
57	8.55006	4.54508
57	8.40767	4.76382
57	8.25985	4.98486
57	8.10764	5.20685
57	7.95301	5.43224
57	7.79798	5.66377
57	7.64448	5.90451
57	7.49418	6.15785
57	7.27791	6.42073
57	7.0193	6.7323
57	6.61003	7.27441
57	6.33727	7.95005
57	6.10467	8.64826
57	5.89511	9.35509
57	6.06175	10.0859
57	5.94085	10.8047
57	6.04845	11.5362
57	5.92665	12.2651
57	6.0877	13.0024
57	6.20903	13.7483

15	6	0
15	6.34741	0.76866
15	6.86707	1.33181
15	7.37982	1.89031
15	7.88609	2.44516
15	8.38614	2.99705
15	8.8824	3.54771
15	8.72743	3.66973
15	8.7172	3.90564
15	8.56538	4.05101
15	8.40772	4.19142
15	8.26183	4.34763
15	8.19413	4.55262
15	8.04198	4.7006
15	7.90358	4.86103
15	7.7672	5.02591
15	7.63664	5.19878
15	7.53115	5.39538
15	7.43194	5.59971
15	7.32098	5.80379
15	7.22159	6.02399
15	7.01273	6.17322
15	6.84885	6.35628
15	6.68176	6.55837
15	6.52388	6.78744
15	6.34531	7.0478
15	6.11193	7.33605
15	5.73949	7.99573
15	6.07722	8.76001
15	5.7245	9.481

60	6	0
60	6.25249	0.752489
60	6.75989	1.31877
60	7.25853	1.87894
60	7.74923	2.43407
60	8.23218	2.98449
60	8.70748	3.52991
60	8.517	3.6692
60	8.30563	3.78764
60	8.12358	3.93346
60	7.95472	4.09091
60	7.77419	4.2391
60	7.62149	4.41162
60	7.47145	4.58852
60	7.35338	4.79154
60	7.23785	5.00093
60	7.12291	5.21724
60	6.9864	5.42938
60	6.85151	5.65552
60	6.72761	5.90571
60	6.60062	6.18091
60	6.28116	6.54123
60	5.85294	7.05493
60	6.28995	7.8154
60	5.91647	8.50946
60	6.05921	9.24744
60	5.93296	9.97337
60	5.90865	10.7057
60	5.93243	11.4448
60	5.94536	12.1856

4	6	0
4	6.30605	0.761288
4	6.88507	1.33374
4	7.45637	1.90143
4	8.01676	2.46275
4	8.56172	3.01514
4	8.74719	3.32846
4	8.84591	3.59859
4	8.85993	3.832
4	8.74031	3.99597
4	8.60728	4.15272
4	8.4552	4.29038
4	8.35613	4.47091
4	8.22492	4.6339
4	8.08483	4.79372
4	7.93476	4.93952
4	7.82204	5.12089
4	7.69648	5.29901
4	7.56999	5.4816
4	7.44905	5.67323
4	7.33529	5.87588
4	7.22672	6.06749
4	7.07629	6.2895
4	6.94547	6.53095
4	6.8	6.79144
4	6.67108	7.08068
4	6.51938	7.40737
4	6.31637	7.77227
4	6.07288	8.46756
4	5.86046	9.17858

53	6	0
53	6.27618	0.759188
53	6.78634	1.32196
53	7.28297	1.8746
53	7.76437	2.41658
53	8.22818	2.94675
53	8.67534	3.46597
53	8.56839	3.59164
53	8.41002	3.66895
53	8.24009	3.7336
53	8.09309	3.82105
53	7.94812	3.91035
53	7.80072	3.9974
53	7.67128	4.10172
53	7.53986	4.20513
53	7.54053	4.40586
53	7.46692	4.5609
53	7.35289	4.68819
53	7.23004	4.81219
53	7.17029	4.98674
53	7.05707	5.13047
53	7.05058	5.34818
53	6.96181	5.52836
53	6.85391	5.71088
53	6.70785	5.89192
53	6.65691	6.14366
53	6.52261	6.33236
53	6.18873	6.74591
53	5.80569	7.32245
53	6.22375	8.08402

24	6	0
24	6.39744	0.75881
24	6.95406	1.31611
24	7.49654	1.86397
24	8.01934	2.39905
24	8.51658	2.91775
24	8.98864	3.42041
24	8.90514	3.6127
24	8.83088	3.81109
24	8.69519	3.97527
24	8.52927	4.11947
24	8.36131	4.25833
24	8.22534	4.4262
24	8.07324	4.58002
24	8.00249	4.79006
24	7.86049	4.96135
24	7.71893	5.13651
24	7.57214	5.31302
24	7.50055	5.53561
24	7.40015	5.73763
24	7.31041	5.96369
24	7.19306	6.18593
24	6.99353	6.39046
24	6.80194	6.6207
24	6.60063	6.88084
24	6.37272	7.16589
24	6.06354	7.83341
24	5.8162	8.5318
24	6.07565	9.26936
24	5.84842	9.97827

88	6	0
88	6.20796	0.754344
88	6.71899	1.32042
88	7.22078	1.88716
88	7.71689	2.4499
88	8.20655	3.00833
88	8.60243	3.48967
88	8.68173	3.75701
88	8.59003	3.91351
88	8.44218	3.99532
88	8.28097	4.06281
88	8.11966	4.13005
88	7.957	4.19595
88	7.80192	4.27036
